Customer Age,Gender,Education Level,Marital Status,Months on book,Credit Limit,Total Trans Amt,Total Trans Count,Minimum income,Max income
45,M,High School,Married,39,12691,1144,42,60000,80000
49,F,Graduate,Single,44,8256,1291,33,0,40000
51,M,Graduate,Married,36,3418,1887,20,80000,120000
40,F,High School,Unknown,34,3313,1171,20,0,40000
40,M,Uneducated,Married,21,4716,816,28,60000,80000
44,M,Graduate,Married,36,4010,1088,24,40000,60000
51,M,Unknown,Married,46,34516,1330,31,120000,120000
32,M,High School,Unknown,27,29081,1538,36,60000,80000
37,M,Uneducated,Single,36,22352,1350,24,60000,80000
48,M,Graduate,Single,36,11656,1441,32,80000,120000
42,M,Uneducated,Unknown,31,6748,1201,42,120000,120000
65,M,Unknown,Married,54,9095,1314,26,40000,60000
56,M,College,Single,36,11751,1539,17,80000,120000
35,M,Graduate,Unknown,30,8547,1311,33,60000,80000
57,F,Graduate,Married,48,2436,1570,29,0,40000
44,M,Unknown,Unknown,37,4234,1348,27,80000,120000
48,M,Post-Graduate,Single,36,30367,1671,27,80000,120000
41,M,Unknown,Married,34,13535,1028,21,80000,120000
61,M,High School,Married,56,3193,1336,30,40000,60000
45,F,Graduate,Married,37,14470,1207,21,0,0
47,M,Doctorate,Divorced,42,20979,1178,27,60000,80000
62,F,Graduate,Married,49,0,692,16,0,40000
41,M,High School,Married,33,4470,931,18,40000,60000
47,F,Unknown,Single,36,2492,1126,23,0,40000
54,M,Unknown,Married,42,12217,1110,21,80000,120000
41,F,Graduate,Single,28,7768,1051,22,0,40000
59,M,High School,Unknown,46,14784,1197,23,40000,60000
63,M,Unknown,Married,56,10215,1904,40,60000,80000
44,F,Uneducated,Single,34,10100,1052,18,0,0
47,M,High School,Married,42,4785,1045,38,40000,60000
53,M,Unknown,Married,33,2753,1038,25,80000,120000
53,M,Uneducated,Married,48,2451,1596,26,60000,80000
41,M,Graduate,Married,36,8923,1589,24,60000,80000
53,F,College,Married,38,2650,1411,28,0,40000
58,M,Graduate,Married,49,12555,1291,24,80000,120000
55,F,College,Single,36,3520,1407,43,0,40000
55,F,Graduate,Married,36,3035,1877,37,0,40000
42,F,High School,Married,36,15433,966,22,0,40000
57,F,Graduate,Unknown,49,3672,1464,28,40000,60000
66,F,Doctorate,Married,56,7882,704,16,0,0
45,M,Graduate,Single,41,32426,1109,28,80000,120000
51,M,Unknown,Married,44,6205,1347,28,40000,60000
50,F,College,Single,43,17304,1756,33,40000,60000
49,M,High School,Married,37,3906,1756,32,60000,80000
38,F,Graduate,Single,28,9830,1042,23,0,0
49,M,Uneducated,Single,30,34516,1444,28,80000,120000
56,M,Doctorate,Married,45,2283,1741,27,60000,80000
59,M,Doctorate,Married,52,2548,1719,27,40000,60000
46,M,High School,Married,40,19458,1217,27,80000,120000
52,M,College,Single,40,4745,1140,40,80000,120000
52,F,Unknown,Married,41,2622,1878,30,0,40000
54,F,Graduate,Married,40,0,705,19,0,40000
66,F,High School,Married,54,3171,1946,38,0,40000
49,M,Unknown,Married,36,19763,1414,35,120000,120000
56,M,Graduate,Married,36,15769,602,15,120000,120000
49,F,Graduate,Unknown,36,3298,1052,32,0,40000
49,F,Graduate,Single,36,2802,1295,40,0,40000
56,M,Uneducated,Married,50,4458,1424,29,40000,60000
44,F,Graduate,Married,35,6273,1359,25,0,0
42,M,High School,Single,34,3336,1168,27,60000,80000
55,M,Unknown,Married,47,3436,1097,33,80000,120000
48,M,Graduate,Married,35,34516,691,15,60000,80000
39,M,High School,Divorced,33,5926,1316,28,60000,80000
44,M,Post-Graduate,Single,32,23957,1276,26,120000,120000
53,M,High School,Single,44,14734,1289,23,120000,120000
51,M,Uneducated,Single,38,34516,1293,32,80000,120000
57,M,College,Married,52,6584,1353,35,60000,80000
44,F,Uneducated,Single,20,2084,1132,28,0,40000
49,M,Graduate,Married,32,1687,1670,17,60000,80000
50,M,Doctorate,Married,38,25300,837,15,80000,120000
51,M,Graduate,Single,42,34516,1550,41,120000,120000
55,F,Graduate,Married,42,2216,1540,36,0,40000
54,M,Graduate,Unknown,43,2910,1256,21,60000,80000
42,M,Uneducated,Married,37,22913,1394,35,80000,120000
44,M,College,Single,35,24312,1341,24,60000,80000
53,M,Graduate,Single,36,5272,1289,33,80000,120000
44,F,Graduate,Single,36,7000,1112,23,0,40000
37,F,Uneducated,Single,29,7038,2339,57,0,40000
49,M,Graduate,Divorced,30,2536,1468,23,60000,80000
47,M,Graduate,Married,38,28904,1334,35,80000,120000
47,M,Graduate,Married,37,8567,1457,41,60000,80000
44,M,Unknown,Unknown,36,34516,1603,29,120000,120000
55,F,Unknown,Married,45,2158,615,12,40000,60000
59,F,Graduate,Married,52,10133,1068,20,0,0
53,M,Graduate,Divorced,35,34516,1590,27,80000,120000
52,M,Graduate,Married,47,3085,1531,35,60000,80000
53,M,High School,Single,35,19040,1212,31,120000,120000
43,F,Uneducated,Single,35,4026,1237,32,0,40000
44,M,High School,Single,31,12756,1413,14,60000,80000
57,M,Unknown,Married,45,5266,1516,29,120000,120000
51,F,High School,Single,36,9930,1276,21,0,40000
49,M,High School,Single,38,31302,1564,35,80000,120000
45,M,Graduate,Single,36,6576,1465,34,40000,60000
53,M,Graduate,Single,42,2664,1286,29,80000,120000
45,F,Unknown,Married,28,2535,1312,20,0,0
64,M,Graduate,Married,52,1709,1673,32,0,40000
45,M,Graduate,Married,35,3454,1313,30,40000,60000
53,M,Doctorate,Married,35,3789,1609,42,40000,60000
56,M,College,Married,50,9689,1158,19,120000,120000
47,M,Unknown,Married,37,5449,836,18,80000,120000
49,F,College,Single,43,23032,1289,22,0,0
41,F,Unknown,Married,34,34516,1487,26,0,0
53,M,Graduate,Married,34,2940,1259,33,120000,120000
44,F,Graduate,Single,32,3031,1298,15,0,40000
44,M,High School,Unknown,25,1862,1226,34,60000,80000
43,F,Post-Graduate,Married,33,8358,1566,37,0,40000
53,M,Post-Graduate,Single,36,34516,1022,21,120000,120000
44,M,Uneducated,Married,36,14450,1235,30,60000,80000
62,F,Unknown,Married,56,0,1951,44,0,40000
